"words","frequency"
"wonder",59
"available",58
"five",58
"fuck",58
"minute",58
"seem",58
"single",58
"whether",58
"wouldnt",58
"final",57
"hold",57
"spent",57
"stand",57
"trip",57
"university",57
"choose",56
"cold",56
"dinner",56
"film",56
"four",56
"gift",56
"given",56
"gone",56
"known",56
"lives",56
"save",56
"sounds",56
"youve",56
"college",55
"continue",55
"deal",55
"health",55
"local",55
"blue",54
"dream",54
"drink",54
"fall",54
"fans",54
"fire",54
"followers",54
"forget",54
"listen",54
"mothers",54
"totally",54
"town",54
"voice",54
"act",53
"bought",53
"center",53
"death",53
"fine",53
"hands",53
"husband",53
"issues",53
"join",53
"seriously",53
"spring",53
"strong",53
"added",52
"apparently",52
"kid",52
"mine",52
"within",52
"although",51
"american",51
"attention",51
"cheese",51
"coffee",51
"drive",51
"earth",51
"image",51
"pay",51
"quality",51
"sent",51
"taken",51
"walk",51
"ways",51
"dad",50
"dark",50
"dead",50
"exactly",50
"human",50
"including",50
"issue",50
"note",50
"problems",50
"sick",50
"sign",50
"starts",50
"system",50
"tired",50
